@format=row	BXD56	BXD45	BXD49	BXD101	BXD40	DBA/2J	BXD87	D2B6F1	BXD65b	BXD100	C57BL/6J	BXD48	BXD65	BXD69	BXD70	BXD73	BXD84	BXD63	BXD68	BXD66	BXD79	BXD81	BXD29	BXD98	BXD62	BXD90	BXD64	BXD102	BXD60	B6D2F1	BXD44	BXD73b	BXD48a	BXD32	BXD9	BXD61	BXD89	BXD27
X2.Piperidinone/L.Serine	16.473786407767	13.4376744186047	22.3506750082318	12.2855328606202	8.38149109792285	11.0824391520544	12.3268620496547	20.8696132596685	14.2245437079731	14.869480784955	11.7599072300091	12.1550081338601	12.6882902298851	12.3583833280707	13.6898156767827	17.0292623758623	20.4144329896907	13.786755952381	10.1247183153314	15.905710102489	10.9013386217154	9.12397356298818	17.2587520706792	18.3645833333333	11.99751287973	14.2299843014129	11.7439306358382	13.3061535853534	12.4717938707788	14.807563338301	16.3735144312394	14.0702224052718	16.4848743804478	18.4364276286846	16.1224983860555	15.9472014925373	15.4713129605025	19.8553958023467
X5.Aminopentanal/L.Serine	10.7001121076233	10.9063797659494	22.1392694063927	11.2836314152411	7.3412930474334	13.102103960396	8.63880167451596	19.8437523452158	13.376467931346	16.2278862242052	10.2489673960805	14.0147374062165	13.4681256672259	10.0873711340206	12.7897025569664	15.9960834579506	16.9016729259133	9.0193730529595	10.9464000672099	13.627195183141	9.58221963974433	6.90870488322718	12.5675914756735	12.5886748588509	12.0145881515745	11.4330460374185	10.0795435753266	12.02220860775	11.0694733194733	15.3065665318698	14.4504379898571	12.8915094339623	15.9110854503464	16.2647001746555	13.4975003377922	11.3893404397069	13.3716463096357	20.5060590544462
Valeric.acid/L.Serine	1.6888063167673	1.44729986975253	5.98738643380083	1.63508317252842	2.12363140829848	3.11047451153225	1.13497301570933	4.77030488904925	2.57190620929223	4.11794842763735	1.76455546813533	3.65883175935642	3.84770058601834	2.58053669150129	3.31296746868523	3.29446359169905	2.68727608294431	2.96983587639441	2.47907074089577	2.78239934432947	1.67710769856605	1.83619508262797	3.2711935362331	3.35156284539546	2.60417229013226	4.34713452162097	0.718456787212976	1.98284747132825	2.55704966582623	2.91620501155666	2.95396069930729	1.32161785755735	0.999875602550148	3.27992799279928	4.1974452708097	2.64487282628876	1.34785857097759	4.14007580978635
Dimethylglycine/L.Serine	0.483556568823027	0.331546935965114	0.549454018569035	0.356276720140195	0.198107169784854	0.40482973556911	0.245332788438319	0.697954583248647	0.309948752655687	0.282322416884659	0.270438297270411	0.429117610862698	0.275997912291229	0.387319274425785	0.290939594659829	0.381696549942907	0.293500364615138	0.419560816777542	0.164540481289905	0.347663383911656	0.277263346377427	0.168697809624322	0.366084939914264	0.445050429146755	0.322743130227001	0.246629572693757	0.277900121736038	0.296141889138735	0.287741499662238	0.355371457440102	0.483270630319477	0.265729886979722	0.304371836461634	0.428977970682172	0.44793151999426	0.379215190434995	0.239446730313743	0.485257886021245
X2.Hydroxybutyric.acid/L.Serine	0.745802443812817	0.482022790596793	1.0151345207651	0.551894304961943	0.38114716077287	0.885399460555753	0.482994441193681	1.30348278326884	0.573477014832888	0.698188816155722	0.453745384654292	0.747933647933648	0.523065760443043	0.629173565675889	0.504989594994609	0.792649835035904	0.377146470417943	0.786350249110924	0.589538124626717	0.680457831023439	0.800990856435103	0.342665443112241	0.89203335749716	0.738699147381242	0.598679136563096	0.409676398806834	0.39804994644863	0.471027712101391	0.546930774432679	0.811199444824313	0.602113149553357	0.501022944760983	0.873186011352423	1.29110375105908	0.675276478381959	0.581745297144257	0.865680821297504	0.988644311869986
L.Serine/L.Serine	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
p.Cresol/L.Serine	1.97017236040871	2.01457360016735	5.03516059639493	2.37734998976039	2.16151712263248	2.53235258940318	2.01941896024465	4.65025236981411	3.35802025852294	3.22721827861579	2.41235727287771	3.46354546056553	2.82996587140087	2.56296247789929	2.27324161385067	3.55094846664559	2.77509950109311	3.0868956785393	2.30590213255464	2.21197518630632	1.9108922363847	1.75343520264809	3.2207658381765	4.3240360483687	2.26236976985696	3.57292077256602	1.75575399683134	2.97243155223994	2.14197592946462	2.61487597868281	2.39552124732498	2.51675998231914	2.2678281723919	3.05793928779918	3.05181315492011	3.02316615972271	2.50659491193738	3.46428880366771
Imidazole.4.acetaldehyde/L.Serine	1.90209999252672	1.35358883058471	2.35625520688698	1.52463882322038	0.970827694356727	1.67256497353661	1.26583855694213	2.20859992315531	1.7513774036803	1.32523524535658	1.3361938588451	1.35426322467052	1.2596441179617	1.7550334065737	1.17475635085477	2.03471920289855	1.81396797479022	1.67278143901778	1.12022938501088	1.54346117052009	1.08397147270516	0.854596957247641	1.9938504720592	2.75218732982392	1.15310669831134	1.71367804140278	1.00332515761576	1.11170438772909	1.02522424222975	1.54842794249425	1.48486965996707	1.64333646006205	1.76994219653179	2.07396409437908	2.15523193096009	1.56660313038378	1.99851773259896	1.99675918231677
X2.3.Butanediol/L.Serine	6.28599654235614	7.20114656031904	17.3736882518556	8.37561327561328	10.3062713797035	8.49638844301766	6.68099959530554	15.5906839622642	12.3733026947984	10.1764829322888	8.64835001853912	13.6525711302532	11.0277847152847	8.50847826086956	9.37259400892288	13.6712920698679	7.36243307555027	11.9869323327727	8.85457016649677	9.47296825950471	5.66457707170459	6.54822480954434	11.7830053532383	8.96087470449173	8.60305732484076	10.9430583501006	6.22075933864054	8.38869295714438	9.65151057401813	9.43689896711386	5.38308286818377	8.33740085417938	9.48780247885107	9.8823251975003	11.2266801528433	11.9698921719647	16.2402687967542	10.5196567726119
Pyrrole.2.carboxylic.acid/L.Serine	1.52907721884012	1.95262233035956	3.48026045939294	1.26106415799422	0.751875821451744	1.30395688991532	1.30031112161311	2.91482114314061	1.56752441358869	1.64114972869922	1.47581083988206	1.87634080717489	1.2823992390744	1.72600987828541	1.28180185834074	2.37212372092041	1.19435933315641	1.46665294685684	1.54049420666824	1.53008450704225	1.0805976017299	1.12586807700863	2.20946968090371	1.99444882925546	1.50907222023597	1.28437832093518	0.795611481679698	1.04128361258142	1.52806543419511	1.80099694120313	1.7030074166644	1.21356636649438	1.75611754424295	2.08791400421011	1.3932551360549	1.25264885619239	1.77359143715643	1.71571987547482
